full_name,position,nationality,goals_overall
Artur Boruc,Goalkeeper,Poland,0
Asmir Begović,Goalkeeper,Bosnia and Herzegovina,0
Ben Foster,Goalkeeper,England,0
Ben Hamer,Goalkeeper,England,0
Bernd Leno,Goalkeeper,Germany,0
Brian Murphy,Goalkeeper,Republic of Ireland,0
Claudio Andrés Bravo Muñoz,Goalkeeper,Chile,0
Damián Emiliano Martínez,Goalkeeper,Argentina,0
Danny Ward,Goalkeeper,Wales,0
David Button,Goalkeeper,England,0
David de Gea,Goalkeeper,Spain,0
Ederson,Goalkeeper,Brazil,0
Fabricio Martín Agosto Ramírez,Goalkeeper,Spain,0
Fraser Forster,Goalkeeper,England,0
Freddie Woodman,Goalkeeper,England,0
Heurelho da Silva Gomes,Goalkeeper,Brazil,0
Hugo Lloris,Goalkeeper,France,0
Jason Steele,Goalkeeper,England,0
Joe Daniel Tupper,Goalkeeper,England,0
Joe Hart,Goalkeeper,England,0
Joel Coleman,Goalkeeper,England,0
John Ruddy,Goalkeeper,England,0
Jonas Lössl,Goalkeeper,Denmark,0
Jordan Pickford,Goalkeeper,England,0
Julián Speroni,Goalkeeper,Argentina,0
Karl Darlow,Goalkeeper,England,0
Kasper Schmeichel,Goalkeeper,Denmark,0
Kepa Arrizabalaga,Goalkeeper,Spain,0
Lee Grant,Goalkeeper,England,0
Loris Karius,Goalkeeper,Germany,0
Łukasz Fabiański,Goalkeeper,Poland,0
Maarten Stekelenburg,Goalkeeper,Netherlands,0
Marcus Bettinelli,Goalkeeper,England,0
Mark Travers,Goalkeeper,Republic of Ireland,0
Martin Dúbravka,Goalkeeper,Slovakia,0
Mathew Ryan,Goalkeeper,Australia,0
Michel Vorm,Goalkeeper,Netherlands,0
Neil Leonard Dula Etheridge,Goalkeeper,Philippines,0
Paulo Dino Gazzaniga,Goalkeeper,Argentina,0
Petr Čech,Goalkeeper,Czech Republic,0
Rui Pedro dos Santos Patrício,Goalkeeper,Portugal,0
Ryan Schofield,Goalkeeper,England,0
Sergio Germán Romero,Goalkeeper,Argentina,0
Sergio Rico,Goalkeeper,Spain,0
Simon Mignolet,Goalkeeper,Belgium,0
Tom Heaton,Goalkeeper,England,0
Vicente Guaita,Goalkeeper,Spain,0
Wayne Hennessey,Goalkeeper,Wales,0
Wilfredo Daniel Caballero,Goalkeeper,Argentina,0
Will Norris,Goalkeeper,England,0
Aaron Cresswell,Defender,England,0
Adam Masina,Defender,Italy,0
Adrian Mariappa,Defender,Jamaica,0
Alberto Moreno,Defender,Spain,0
Alfie Jones,Defender,England,0
Alfie Mawson,Defender,England,0
Ali Koiki,Defender,England,0
Andreas Christensen,Defender,Denmark,0
Andrew Robertson,Defender,Scotland,0
Anthony Driscoll-Glennon,Defender,England,0
Antonio Barreca,Defender,Italy,0
Antonio Valencia,Defender,Ecuador,0
Arthur Masuaku,Defender,France,0
Ben Chilwell,Defender,England,0
Ben Davies,Defender,Wales,0
Ben Mee,Defender,England,0
Ben White,Defender,England,0
Ben Wilmot,Defender,England,0
Benjamin Mendy,Defender,France,0
Bernardo,Defender,Brazil,0
Bruno Écuélé Manga,Defender,Gabon,0
Bruno Saltor Grau,Defender,Spain,0
Caglar Söyüncü,Defender,Turkey,0
Cameron John,Defender,England,0
Carl Jenkinson,Defender,England,0
Charlie Taylor,Defender,England,0
Chris Löwe,Defender,Germany,0
Chris Mepham,Defender,Wales,0
Christian Fuchs,Defender,Austria,0
Christian Kabasele,Defender,Belgium,0
Cyrus Christie,Defender,Republic of Ireland,0
Dan Burn,Defender,England,0
Danny Rose,Defender,England,0
Danny Simpson,Defender,England,0
Daryl Janmaat,Defender,Netherlands,0
Davide Zappacosta,Defender,Italy,0
Demeaco Duhaney,Defender,England,0
Denis Odoi,Defender,Belgium,0
Diego Rico,Defender,Spain,0
Emerson Palmieri dos Santos,Defender,Italy,0
